"characteristic","category","private survey","public survey","social media","p_value"
"sex","female","462 (23.4%)","184 (30.3%)","425 (20.9%)","<0.001"
,"male","1063 (76.6%)","604 (69.7%)","1609 (79.0%)",
,"missing","1 (0.0%)","0 (0.1%)","2 (0.1%)",
"age (years)","0-14","52 (1.5%)","12 (3.4%)","96 (4.7%)","<0.001"
,"15-44","507 (32.2%)","254 (33.2%)","505 (24.8%)",
,"45+","558 (65.2%)","514 (36.6%)","216 (10.6%)",
,"missing","409 (1.0%)","8 (26.8%)","1219 (59.9%)",
"location of death","Khartoum State","1065 (60.4%)","476 (69.8%)","1640 (80.6%)","<0.001"
,"other states","461 (39.6%)","312 (30.2%)","396 (19.4%)",
"year of death","2023","700 (71.4%)","563 (45.9%)","1311 (64.4%)","<0.001"
,"2024","809 (28.6%)","225 (53.0%)","698 (34.3%)",
,"missing","17 (0.0%)","0 (1.1%)","27 (1.3%)",
"member of resistance committees","no / unknown","1526 (100.0%)","788 (100.0%)","1362 (66.9%)","<0.001"
,"yes","0 (0.0%)","0 (0.0%)","674 (33.1%)",
"cause of death","intentional injury","591 (46.1%)","363 (38.7%)","1263 (62.0%)","<0.001"
,"other","935 (53.9%)","425 (61.3%)","773 (38.0%)",
"total observations",,"1526","788","2036",
