"characteristic","category","private survey","public survey","social media","p_value"
"sex","female","458 (24.0%)","182 (30.8%)","340 (20.2%)","<0.001"
,"male","1022 (75.7%)","574 (68.8%)","1338 (79.4%)",
,"missing","6 (0.3%)","2 (0.4%)","8 (0.5%)",
"age (years)","0-14","49 (1.5%)","11 (3.3%)","87 (5.2%)","<0.001"
,"15-44","500 (30.9%)","234 (33.6%)","458 (27.2%)",
,"45+","549 (64.4%)","488 (36.9%)","242 (14.4%)",
,"missing","388 (3.3%)","25 (26.1%)","899 (53.3%)",
"location of death","Khartoum State","1016 (59.2%)","449 (68.4%)","1301 (77.2%)","<0.001"
,"other states","470 (40.8%)","309 (31.6%)","385 (22.8%)",
"year of death","2023","670 (69.9%)","530 (45.1%)","1013 (60.1%)","<0.001"
,"2024","801 (30.1%)","228 (53.9%)","655 (38.8%)",
,"missing","15 (0.0%)","0 (1.0%)","18 (1.1%)",
"member of resistance committees","no / unknown","1486 (100.0%)","758 (100.0%)","1300 (77.1%)","<0.001"
,"yes","0 (0.0%)","0 (0.0%)","386 (22.9%)",
"cause of death","intentional injury","555 (42.7%)","324 (37.3%)","968 (57.4%)","<0.001"
,"other","931 (57.3%)","434 (62.7%)","718 (42.6%)",
"total observations",,"1486","758","1686",
