"characteristic","category","private survey","public survey","social media","p_value"
"sex","female","465 (23.4%)","184 (30.4%)","424 (20.8%)","<0.001"
,"male","1063 (76.5%)","602 (69.5%)","1609 (79.0%)",
,"missing","2 (0.1%)","1 (0.1%)","4 (0.2%)",
"age (years)","0-14","53 (1.5%)","12 (3.5%)","96 (4.7%)","<0.001"
,"15-44","511 (32.1%)","253 (33.4%)","507 (24.9%)",
,"45+","564 (65.1%)","512 (36.9%)","232 (11.4%)",
,"missing","402 (1.3%)","10 (26.3%)","1202 (59.0%)",
"location of death","Khartoum State","1063 (60.2%)","474 (69.5%)","1634 (80.2%)","<0.001"
,"other states","467 (39.8%)","313 (30.5%)","403 (19.8%)",
"year of death","2023","699 (71.4%)","562 (45.7%)","1310 (64.3%)","<0.001"
,"2024","814 (28.6%)","225 (53.2%)","701 (34.4%)",
,"missing","17 (0.0%)","0 (1.1%)","26 (1.3%)",
"member of resistance committees","no / unknown","1530 (100.0%)","787 (100.0%)","1418 (69.6%)","<0.001"
,"yes","0 (0.0%)","0 (0.0%)","619 (30.4%)",
"cause of death","intentional injury","589 (45.5%)","358 (38.5%)","1260 (61.9%)","<0.001"
,"other","941 (54.5%)","429 (61.5%)","777 (38.1%)",
"total observations",,"1530","787","2037",
