"characteristic","category","private survey","public survey","social media","p_value"
"sex","female","464 (23.4%)","184 (30.3%)","423 (20.8%)","<0.001"
,"male","1063 (76.5%)","602 (69.5%)","1610 (79.0%)",
,"missing","3 (0.1%)","1 (0.2%)","5 (0.2%)",
"age (years)","0-14","51 (1.4%)","11 (3.3%)","96 (4.7%)","<0.001"
,"15-44","520 (31.8%)","250 (34.0%)","512 (25.1%)",
,"45+","563 (64.4%)","507 (36.8%)","246 (12.1%)",
,"missing","396 (2.4%)","19 (25.9%)","1184 (58.1%)",
"location of death","Khartoum State","1054 (60.1%)","473 (68.9%)","1630 (80.0%)","<0.001"
,"other states","476 (39.9%)","314 (31.1%)","408 (20.0%)",
"year of death","2023","693 (71.0%)","559 (45.3%)","1304 (64.0%)","<0.001"
,"2024","820 (29.0%)","228 (53.6%)","708 (34.7%)",
,"missing","17 (0.0%)","0 (1.1%)","26 (1.3%)",
"member of resistance committees","no / unknown","1530 (100.0%)","787 (100.0%)","1456 (71.4%)","<0.001"
,"yes","0 (0.0%)","0 (0.0%)","582 (28.6%)",
"cause of death","intentional injury","585 (44.6%)","351 (38.2%)","1253 (61.5%)","<0.001"
,"other","945 (55.4%)","436 (61.8%)","785 (38.5%)",
"total observations",,"1530","787","2038",
