"characteristic","category","private survey","public survey","social media","p_value"
"sex","female","462 (23.6%)","182 (30.6%)","360 (20.1%)","<0.001"
,"male","1044 (76.3%)","589 (69.2%)","1423 (79.5%)",
,"missing","3 (0.1%)","1 (0.2%)","7 (0.4%)",
"age (years)","0-14","52 (1.6%)","12 (3.4%)","90 (5.0%)","<0.001"
,"15-44","506 (31.3%)","242 (33.5%)","465 (26.0%)",
,"45+","556 (65.4%)","505 (36.8%)","231 (12.9%)",
,"missing","395 (1.7%)","13 (26.2%)","1004 (56.1%)",
"location of death","Khartoum State","1041 (59.5%)","459 (69.0%)","1395 (77.9%)","<0.001"
,"other states","468 (40.5%)","313 (31.0%)","395 (22.1%)",
"year of death","2023","685 (71.0%)","548 (45.4%)","1106 (61.8%)","<0.001"
,"2024","807 (29.0%)","224 (53.5%)","663 (37.0%)",
,"missing","17 (0.0%)","0 (1.1%)","21 (1.2%)",
"member of resistance committees","no / unknown","1509 (100.0%)","772 (100.0%)","1329 (74.2%)","<0.001"
,"yes","0 (0.0%)","0 (0.0%)","461 (25.8%)",
"cause of death","intentional injury","574 (44.8%)","346 (38.0%)","1039 (58.0%)","<0.001"
,"other","935 (55.2%)","426 (62.0%)","751 (42.0%)",
"total observations",,"1509","772","1790",
