"characteristic","category","private survey","public survey","social media","p_value"
"sex","female","457 (24.1%)","182 (31.2%)","339 (20.3%)","<0.001"
,"male","1003 (75.7%)","571 (68.5%)","1327 (79.3%)",
,"missing","4 (0.1%)","1 (0.3%)","7 (0.4%)",
"age (years)","0-14","51 (1.6%)","12 (3.5%)","89 (5.3%)","<0.001"
,"15-44","495 (31.2%)","235 (33.8%)","453 (27.1%)",
,"45+","537 (65.1%)","491 (36.7%)","224 (13.4%)",
,"missing","381 (2.1%)","16 (26.0%)","907 (54.2%)",
"location of death","Khartoum State","1004 (59.0%)","445 (68.6%)","1298 (77.6%)","<0.001"
,"other states","460 (41.0%)","309 (31.4%)","375 (22.4%)",
"year of death","2023","663 (70.6%)","532 (45.3%)","1017 (60.8%)","<0.001"
,"2024","785 (29.4%)","222 (53.6%)","639 (38.2%)",
,"missing","16 (0.0%)","0 (1.1%)","17 (1.0%)",
"member of resistance committees","no / unknown","1464 (100.0%)","754 (100.0%)","1267 (75.7%)","<0.001"
,"yes","0 (0.0%)","0 (0.0%)","406 (24.3%)",
"cause of death","intentional injury","551 (44.4%)","335 (37.6%)","973 (58.2%)","<0.001"
,"other","913 (55.6%)","419 (62.4%)","700 (41.8%)",
"total observations",,"1464","754","1673",
