"characteristic","category","private survey","public survey","social media","p_value"
"sex","female","456 (24.2%)","182 (31.2%)","339 (20.3%)","<0.001"
,"male","1003 (75.7%)","570 (68.6%)","1328 (79.3%)",
,"missing","4 (0.1%)","1 (0.3%)","7 (0.4%)",
"age (years)","0-14","50 (1.5%)","11 (3.4%)","89 (5.3%)","<0.001"
,"15-44","498 (31.1%)","234 (34.0%)","454 (27.1%)",
,"45+","538 (64.8%)","488 (36.8%)","232 (13.9%)",
,"missing","377 (2.7%)","20 (25.8%)","899 (53.7%)",
"location of death","Khartoum State","1001 (59.1%)","445 (68.4%)","1296 (77.4%)","<0.001"
,"other states","462 (40.9%)","308 (31.6%)","378 (22.6%)",
"year of death","2023","658 (70.3%)","529 (45.0%)","1016 (60.7%)","<0.001"
,"2024","789 (29.7%)","224 (53.9%)","641 (38.3%)",
,"missing","16 (0.0%)","0 (1.1%)","17 (1.0%)",
"member of resistance committees","no / unknown","1463 (100.0%)","753 (100.0%)","1283 (76.6%)","<0.001"
,"yes","0 (0.0%)","0 (0.0%)","391 (23.4%)",
"cause of death","intentional injury","549 (43.6%)","328 (37.5%)","966 (57.7%)","<0.001"
,"other","914 (56.4%)","425 (62.5%)","708 (42.3%)",
"total observations",,"1463","753","1674",
