"characteristic","category","private survey","public survey","social media","p_value"
"sex","female","461 (23.6%)","182 (30.5%)","359 (20.0%)","<0.001"
,"male","1045 (76.1%)","587 (69.2%)","1425 (79.5%)",
,"missing","5 (0.3%)","2 (0.3%)","8 (0.4%)",
"age (years)","0-14","51 (1.4%)","11 (3.4%)","89 (5.0%)","<0.001"
,"15-44","506 (31.0%)","239 (33.5%)","472 (26.3%)",
,"45+","560 (64.6%)","498 (37.1%)","249 (13.9%)",
,"missing","394 (3.0%)","23 (26.1%)","982 (54.8%)",
"location of death","Khartoum State","1036 (59.4%)","458 (68.6%)","1387 (77.4%)","<0.001"
,"other states","475 (40.6%)","313 (31.4%)","405 (22.6%)",
"year of death","2023","682 (70.2%)","541 (45.1%)","1096 (61.2%)","<0.001"
,"2024","813 (29.8%)","230 (53.8%)","675 (37.7%)",
,"missing","16 (0.0%)","0 (1.1%)","21 (1.2%)",
"member of resistance committees","no / unknown","1511 (100.0%)","771 (100.0%)","1357 (75.7%)","<0.001"
,"yes","0 (0.0%)","0 (0.0%)","435 (24.3%)",
"cause of death","intentional injury","565 (42.9%)","331 (37.4%)","1026 (57.3%)","<0.001"
,"other","946 (57.1%)","440 (62.6%)","766 (42.7%)",
"total observations",,"1511","771","1792",
