"characteristic","category","private survey","public survey","social media","p_value"
"sex","female","492 (22.8%)","186 (30.7%)","462 (19.5%)","<0.001"
,"male","1107 (77.1%)","628 (69.1%)","1898 (80.3%)",
,"missing","3 (0.1%)","1 (0.2%)","4 (0.2%)",
"age (years)","0-14","53 (1.5%)","12 (3.3%)","103 (4.4%)","<0.001"
,"15-44","535 (32.3%)","263 (33.4%)","592 (25.0%)",
,"45+","572 (64.8%)","528 (35.7%)","242 (10.2%)",
,"missing","442 (1.5%)","12 (27.6%)","1427 (60.4%)",
"location of death","Khartoum State","1120 (60.5%)","493 (69.9%)","1923 (81.3%)","<0.001"
,"other states","482 (39.5%)","322 (30.1%)","441 (18.7%)",
"year of death","2023","736 (71.7%)","584 (45.9%)","1580 (66.8%)","<0.001"
,"2024","848 (28.3%)","231 (52.9%)","756 (32.0%)",
,"missing","18 (0.0%)","0 (1.1%)","28 (1.2%)",
"member of resistance committees","no / unknown","1602 (100.0%)","815 (100.0%)","1579 (66.8%)","<0.001"
,"yes","0 (0.0%)","0 (0.0%)","785 (33.2%)",
"cause of death","intentional injury","623 (46.1%)","376 (38.9%)","1539 (65.1%)","<0.001"
,"other","979 (53.9%)","439 (61.1%)","825 (34.9%)",
"total observations",,"1602","815","2364",
