"characteristic","category","private survey","public survey","social media","p_value"
"sex","female","459 (23.9%)","182 (30.9%)","342 (20.3%)","<0.001"
,"male","1024 (75.9%)","577 (68.9%)","1336 (79.3%)",
,"missing","3 (0.1%)","1 (0.2%)","6 (0.4%)",
"age (years)","0-14","52 (1.6%)","12 (3.5%)","89 (5.3%)","<0.001"
,"15-44","496 (31.3%)","238 (33.4%)","451 (26.8%)",
,"45+","549 (65.5%)","498 (36.9%)","221 (13.1%)",
,"missing","389 (1.6%)","12 (26.2%)","923 (54.8%)",
"location of death","Khartoum State","1025 (59.2%)","450 (69.0%)","1310 (77.8%)","<0.001"
,"other states","461 (40.8%)","310 (31.0%)","374 (22.2%)",
"year of death","2023","676 (70.8%)","538 (45.5%)","1029 (61.1%)","<0.001"
,"2024","794 (29.2%)","222 (53.4%)","637 (37.8%)",
,"missing","16 (0.0%)","0 (1.1%)","18 (1.1%)",
"member of resistance committees","no / unknown","1486 (100.0%)","760 (100.0%)","1256 (74.6%)","<0.001"
,"yes","0 (0.0%)","0 (0.0%)","428 (25.4%)",
"cause of death","intentional injury","568 (44.5%)","338 (38.2%)","981 (58.3%)","<0.001"
,"other","918 (55.5%)","422 (61.8%)","703 (41.7%)",
"total observations",,"1486","760","1684",
