"characteristic","category","private survey","public survey","social media","p_value"
"sex","female","462 (23.6%)","182 (30.6%)","361 (20.2%)","<0.001"
,"male","1045 (76.3%)","588 (69.3%)","1423 (79.5%)",
,"missing","2 (0.1%)","1 (0.1%)","6 (0.3%)",
"age (years)","0-14","53 (1.6%)","12 (3.5%)","90 (5.0%)","<0.001"
,"15-44","501 (31.5%)","243 (33.2%)","462 (25.8%)",
,"45+","558 (65.6%)","506 (37.0%)","226 (12.6%)",
,"missing","397 (1.3%)","10 (26.3%)","1012 (56.5%)",
"location of death","Khartoum State","1046 (59.7%)","460 (69.3%)","1397 (78.0%)","<0.001"
,"other states","463 (40.3%)","311 (30.7%)","393 (22.0%)",
"year of death","2023","687 (71.2%)","549 (45.5%)","1112 (62.1%)","<0.001"
,"2024","805 (28.8%)","222 (53.3%)","657 (36.7%)",
,"missing","17 (0.0%)","0 (1.1%)","21 (1.2%)",
"member of resistance committees","no / unknown","1509 (100.0%)","771 (100.0%)","1311 (73.2%)","<0.001"
,"yes","0 (0.0%)","0 (0.0%)","479 (26.8%)",
"cause of death","intentional injury","578 (44.9%)","346 (38.3%)","1039 (58.0%)","<0.001"
,"other","931 (55.1%)","425 (61.7%)","751 (42.0%)",
"total observations",,"1509","771","1790",
