"characteristic","category","private survey","public survey","social media","p_value"
"sex","female","456 (23.9%)","182 (30.8%)","343 (20.4%)","<0.001"
,"male","1024 (76.1%)","579 (69.1%)","1336 (79.4%)",
,"missing","2 (0.0%)","0 (0.1%)","4 (0.2%)",
"age (years)","0-14","51 (1.6%)","12 (3.4%)","89 (5.3%)","<0.001"
,"15-44","493 (31.4%)","239 (33.3%)","452 (26.9%)",
,"45+","543 (65.7%)","500 (36.6%)","206 (12.2%)",
,"missing","395 (1.3%)","10 (26.7%)","936 (55.6%)",
"location of death","Khartoum State","1027 (59.4%)","452 (69.3%)","1316 (78.2%)","<0.001"
,"other states","455 (40.6%)","309 (30.7%)","367 (21.8%)",
"year of death","2023","677 (70.8%)","539 (45.7%)","1030 (61.2%)","<0.001"
,"2024","789 (29.2%)","222 (53.2%)","634 (37.7%)",
,"missing","16 (0.0%)","0 (1.1%)","19 (1.1%)",
"member of resistance committees","no / unknown","1482 (100.0%)","761 (100.0%)","1200 (71.3%)","<0.001"
,"yes","0 (0.0%)","0 (0.0%)","483 (28.7%)",
"cause of death","intentional injury","569 (44.9%)","342 (38.4%)","984 (58.5%)","<0.001"
,"other","913 (55.1%)","419 (61.6%)","699 (41.5%)",
"total observations",,"1482","761","1683",
