"characteristic","category","private survey","public survey","social media","p_value"
"sex","female","491 (22.9%)","186 (30.6%)","461 (19.5%)","<0.001"
,"male","1108 (76.9%)","626 (69.1%)","1900 (80.3%)",
,"missing","5 (0.2%)","2 (0.3%)","5 (0.2%)",
"age (years)","0-14","52 (1.4%)","11 (3.2%)","102 (4.3%)","<0.001"
,"15-44","536 (31.8%)","259 (33.4%)","599 (25.3%)",
,"45+","575 (64.0%)","521 (35.8%)","260 (11.0%)",
,"missing","441 (2.8%)","23 (27.5%)","1405 (59.4%)",
"location of death","Khartoum State","1113 (60.3%)","491 (69.4%)","1913 (80.9%)","<0.001"
,"other states","491 (39.7%)","323 (30.6%)","453 (19.1%)",
"year of death","2023","733 (71.0%)","578 (45.7%)","1571 (66.4%)","<0.001"
,"2024","854 (29.0%)","236 (53.2%)","767 (32.4%)",
,"missing","17 (0.0%)","0 (1.1%)","28 (1.2%)",
"member of resistance committees","no / unknown","1604 (100.0%)","814 (100.0%)","1607 (67.9%)","<0.001"
,"yes","0 (0.0%)","0 (0.0%)","759 (32.1%)",
"cause of death","intentional injury","615 (44.3%)","361 (38.3%)","1527 (64.5%)","<0.001"
,"other","989 (55.7%)","453 (61.7%)","839 (35.5%)",
"total observations",,"1604","814","2366",
