"characteristic","category","private survey","public survey","social media","p_value"
"sex","female","491 (22.9%)","186 (30.7%)","462 (19.5%)","<0.001"
,"male","1107 (77.0%)","627 (69.1%)","1899 (80.3%)",
,"missing","3 (0.1%)","1 (0.2%)","4 (0.2%)",
"age (years)","0-14","52 (1.4%)","11 (3.2%)","103 (4.4%)","<0.001"
,"15-44","539 (32.1%)","261 (33.7%)","594 (25.1%)",
,"45+","573 (64.4%)","524 (35.8%)","251 (10.6%)",
,"missing","437 (2.2%)","18 (27.3%)","1417 (59.9%)",
"location of death","Khartoum State","1116 (60.6%)","493 (69.7%)","1921 (81.2%)","<0.001"
,"other states","485 (39.4%)","321 (30.3%)","444 (18.8%)",
"year of death","2023","732 (71.5%)","582 (45.7%)","1580 (66.8%)","<0.001"
,"2024","851 (28.5%)","232 (53.2%)","757 (32.0%)",
,"missing","18 (0.0%)","0 (1.1%)","28 (1.2%)",
"member of resistance committees","no / unknown","1601 (100.0%)","814 (100.0%)","1597 (67.5%)","<0.001"
,"yes","0 (0.0%)","0 (0.0%)","768 (32.5%)",
"cause of death","intentional injury","622 (45.3%)","369 (38.9%)","1533 (64.8%)","<0.001"
,"other","979 (54.7%)","445 (61.1%)","832 (35.2%)",
"total observations",,"1601","814","2365",
