"characteristic","category","private survey","public survey","social media","p_value"
"sex","female","458 (24.0%)","182 (30.9%)","341 (20.2%)","<0.001"
,"male","1021 (75.9%)","576 (68.8%)","1337 (79.3%)",
,"missing","4 (0.1%)","1 (0.3%)","7 (0.4%)",
"age (years)","0-14","50 (1.4%)","11 (3.4%)","89 (5.3%)","<0.001"
,"15-44","503 (31.1%)","236 (33.9%)","455 (27.0%)",
,"45+","547 (65.0%)","493 (36.9%)","234 (13.9%)",
,"missing","383 (2.5%)","19 (25.8%)","907 (53.8%)",
"location of death","Khartoum State","1016 (59.2%)","449 (68.5%)","1306 (77.5%)","<0.001"
,"other states","467 (40.8%)","310 (31.5%)","379 (22.5%)",
"year of death","2023","669 (70.4%)","534 (45.1%)","1022 (60.7%)","<0.001"
,"2024","798 (29.6%)","225 (53.8%)","645 (38.3%)",
,"missing","16 (0.0%)","0 (1.1%)","18 (1.1%)",
"member of resistance committees","no / unknown","1483 (100.0%)","759 (100.0%)","1290 (76.6%)","<0.001"
,"yes","0 (0.0%)","0 (0.0%)","395 (23.4%)",
"cause of death","intentional injury","562 (43.5%)","330 (37.9%)","974 (57.8%)","<0.001"
,"other","921 (56.5%)","429 (62.1%)","711 (42.2%)",
"total observations",,"1483","759","1685",
