"characteristic","category","private survey","public survey","social media","p_value"
"sex","female","465 (23.4%)","184 (30.4%)","423 (20.8%)","<0.001"
,"male","1063 (76.5%)","603 (69.4%)","1609 (79.0%)",
,"missing","3 (0.1%)","1 (0.2%)","5 (0.2%)",
"age (years)","0-14","52 (1.5%)","12 (3.4%)","96 (4.7%)","<0.001"
,"15-44","517 (32.0%)","252 (33.8%)","510 (25.0%)",
,"45+","562 (64.8%)","511 (36.7%)","237 (11.6%)",
,"missing","400 (1.6%)","13 (26.1%)","1194 (58.6%)",
"location of death","Khartoum State","1058 (60.0%)","473 (69.1%)","1632 (80.1%)","<0.001"
,"other states","473 (40.0%)","315 (30.9%)","405 (19.9%)",
"year of death","2023","697 (71.2%)","561 (45.5%)","1304 (64.0%)","<0.001"
,"2024","817 (28.8%)","227 (53.4%)","707 (34.7%)",
,"missing","17 (0.0%)","0 (1.1%)","26 (1.3%)",
"member of resistance committees","no / unknown","1531 (100.0%)","788 (100.0%)","1438 (70.6%)","<0.001"
,"yes","0 (0.0%)","0 (0.0%)","599 (29.4%)",
"cause of death","intentional injury","586 (45.4%)","358 (38.3%)","1259 (61.8%)","<0.001"
,"other","945 (54.6%)","430 (61.7%)","778 (38.2%)",
"total observations",,"1531","788","2037",
