"characteristic","category","private survey","public survey","social media","p_value"
"sex","female","464 (23.4%)","184 (30.3%)","422 (20.7%)","<0.001"
,"male","1064 (76.4%)","601 (69.4%)","1611 (79.0%)",
,"missing","5 (0.3%)","2 (0.3%)","6 (0.3%)",
"age (years)","0-14","51 (1.4%)","11 (3.3%)","95 (4.7%)","<0.001"
,"15-44","517 (31.5%)","248 (33.7%)","517 (25.4%)",
,"45+","565 (64.0%)","504 (36.9%)","255 (12.5%)",
,"missing","400 (3.0%)","24 (26.1%)","1172 (57.5%)",
"location of death","Khartoum State","1051 (60.0%)","472 (68.6%)","1622 (79.5%)","<0.001"
,"other states","482 (40.0%)","315 (31.4%)","417 (20.5%)",
"year of death","2023","694 (70.5%)","555 (45.3%)","1296 (63.6%)","<0.001"
,"2024","823 (29.5%)","232 (53.7%)","717 (35.2%)",
,"missing","16 (0.0%)","0 (1.0%)","26 (1.3%)",
"member of resistance committees","no / unknown","1533 (100.0%)","787 (100.0%)","1467 (71.9%)","<0.001"
,"yes","0 (0.0%)","0 (0.0%)","572 (28.1%)",
"cause of death","intentional injury","578 (43.6%)","343 (37.7%)","1247 (61.2%)","<0.001"
,"other","955 (56.4%)","444 (62.3%)","792 (38.8%)",
"total observations",,"1533","787","2039",
