"characteristic","category","private survey","public survey","social media","p_value"
"sex","female","461 (23.6%)","182 (30.6%)","360 (20.1%)","<0.001"
,"male","1044 (76.3%)","588 (69.2%)","1424 (79.5%)",
,"missing","3 (0.1%)","1 (0.2%)","7 (0.4%)",
"age (years)","0-14","51 (1.4%)","11 (3.4%)","90 (5.0%)","<0.001"
,"15-44","509 (31.3%)","241 (33.8%)","467 (26.1%)",
,"45+","557 (65.0%)","501 (36.9%)","240 (13.4%)",
,"missing","391 (2.3%)","18 (25.9%)","994 (55.5%)",
"location of death","Khartoum State","1037 (59.5%)","459 (68.8%)","1393 (77.8%)","<0.001"
,"other states","471 (40.5%)","312 (31.2%)","398 (22.2%)",
"year of death","2023","680 (70.7%)","545 (45.1%)","1105 (61.7%)","<0.001"
,"2024","811 (29.3%)","226 (53.8%)","665 (37.1%)",
,"missing","17 (0.0%)","0 (1.1%)","21 (1.2%)",
"member of resistance committees","no / unknown","1508 (100.0%)","771 (100.0%)","1346 (75.2%)","<0.001"
,"yes","0 (0.0%)","0 (0.0%)","445 (24.8%)",
"cause of death","intentional injury","573 (44.0%)","339 (38.0%)","1032 (57.6%)","<0.001"
,"other","935 (56.0%)","432 (62.0%)","759 (42.4%)",
"total observations",,"1508","771","1791",
