"characteristic","category","private survey","public survey","social media","p_value"
"sex","female","457 (24.1%)","182 (31.2%)","340 (20.3%)","<0.001"
,"male","1006 (75.7%)","571 (68.6%)","1327 (79.3%)",
,"missing","3 (0.1%)","1 (0.2%)","6 (0.4%)",
"age (years)","0-14","52 (1.6%)","12 (3.5%)","89 (5.3%)","<0.001"
,"15-44","492 (31.3%)","236 (33.6%)","450 (26.9%)",
,"45+","540 (65.4%)","493 (36.8%)","219 (13.1%)",
,"missing","382 (1.7%)","13 (26.1%)","915 (54.7%)",
"location of death","Khartoum State","1009 (59.2%)","446 (68.8%)","1300 (77.7%)","<0.001"
,"other states","457 (40.8%)","308 (31.2%)","373 (22.3%)",
"year of death","2023","665 (70.7%)","533 (45.4%)","1023 (61.1%)","<0.001"
,"2024","785 (29.3%)","221 (53.5%)","633 (37.8%)",
,"missing","16 (0.0%)","0 (1.1%)","17 (1.0%)",
"member of resistance committees","no / unknown","1466 (100.0%)","754 (100.0%)","1249 (74.7%)","<0.001"
,"yes","0 (0.0%)","0 (0.0%)","424 (25.3%)",
"cause of death","intentional injury","555 (44.6%)","336 (37.9%)","973 (58.2%)","<0.001"
,"other","911 (55.4%)","418 (62.1%)","700 (41.8%)",
"total observations",,"1466","754","1673",
