"characteristic","category","private survey","public survey","social media","p_value"
"sex","female","459 (23.9%)","182 (30.9%)","341 (20.2%)","<0.001"
,"male","1021 (75.9%)","577 (68.8%)","1336 (79.3%)",
,"missing","4 (0.1%)","1 (0.3%)","7 (0.4%)",
"age (years)","0-14","51 (1.6%)","12 (3.4%)","89 (5.3%)","<0.001"
,"15-44","500 (31.2%)","237 (33.7%)","454 (27.0%)",
,"45+","546 (65.3%)","496 (36.8%)","226 (13.4%)",
,"missing","387 (2.0%)","15 (26.1%)","915 (54.3%)",
"location of death","Khartoum State","1020 (59.1%)","449 (68.7%)","1308 (77.7%)","<0.001"
,"other states","464 (40.9%)","311 (31.3%)","376 (22.3%)",
"year of death","2023","674 (70.7%)","537 (45.4%)","1023 (60.7%)","<0.001"
,"2024","794 (29.3%)","223 (53.5%)","643 (38.2%)",
,"missing","16 (0.0%)","0 (1.1%)","18 (1.1%)",
"member of resistance committees","no / unknown","1484 (100.0%)","760 (100.0%)","1274 (75.7%)","<0.001"
,"yes","0 (0.0%)","0 (0.0%)","410 (24.3%)",
"cause of death","intentional injury","564 (44.3%)","337 (38.0%)","981 (58.3%)","<0.001"
,"other","920 (55.7%)","423 (62.0%)","703 (41.7%)",
"total observations",,"1484","760","1684",
